Journal Name,Sinta URL,P-ISSN,E-ISSN,Subject Area,Affiliation,Accreditation,Scopus Indexed,Garuda Indexed,Impact,H5-index,Citations 5yr,Citations,Website URL
Al-Umron.,https://sinta.kemdiktisaintek.go.id/journals/profile/13088,,2722-2845,General/Multidisciplinary,Universitas Nahdlatul Ulama Sunan Giri Bojonegoro,S5,No,Yes,"0,00",9,403.0,511.0,https://journal.unugiri.ac.id/index.php/al-umron/index
Retorika.,https://sinta.kemdiktisaintek.go.id/journals/profile/15099,2745-6358,2745-634X,"Humanities, Education",Universitas Flores,S5,No,Yes,"0,00",4,52.0,55.0,https://e-journal.uniflor.ac.id/index.php/RJPBSI
Jurnal ilmiah neraca.,https://sinta.kemdiktisaintek.go.id/journals/profile/12289,2621-0479,2746-5926,Economics & Business,Sekolah Tinggi Ilmu Ekonomi LPI Makassar,S5,No,Yes,"0,00",0,0.0,0.0,https://jurnal.stie-lpi.ac.id/index.php/neraca
Arthavidya,https://sinta.kemdiktisaintek.go.id/journals/profile/3763,1410-8755,2579-6070,Economy,Fakultas Ekonomi dan Bisnis Universitas Wisnuwardhana Malang,S5,No,Yes,"0,00",10,406.0,543.0,http://arthavidya.wisnuwardhana.ac.id/index.php/arthavidya
Dikemas,https://sinta.kemdiktisaintek.go.id/journals/profile/4564,,2581-1932,Social Science & Humanities,Politeknik Negeri Madiun,S5,No,Yes,"0,00",7,118.0,165.0,http://journal.pnm.ac.id/index.php/dikemas
QALAM.,https://sinta.kemdiktisaintek.go.id/journals/profile/13943,2745-844X,2745-8245,Education,Rumah Jurnal Sufyan Tsauri,S5,No,Yes,"0,00",7,204.0,207.0,https://jurnal.insima.ac.id/index.php/qalam
Psikologi konseling : jurnal kajian psikologi dan konseling,https://sinta.kemdiktisaintek.go.id/journals/profile/626,2085-8086,2502-7190,General/Multidisciplinary,Universitas Negeri Medan,S5,No,Yes,"0,00",20,1.442,1.648,https://jurnal.unimed.ac.id/2012/index.php/Konseling
Journal of Electrical Power Control and Automation.,https://sinta.kemdiktisaintek.go.id/journals/profile/7185,,2621-556X,General/Multidisciplinary,Universitas Batanghari Jambi,S5,No,Yes,"0,00",6,144.0,144.0,http://jepca.unbari.ac.id/index.php/jec
EduTeach.,https://sinta.kemdiktisaintek.go.id/journals/profile/13428,2715-9760,2715-9779,Education,Universitas Muhammadiyah Riau,S5,No,Yes,"0,00",9,1.262,1.396,http://ejurnal.umri.ac.id/index.php/eduteach
Journal of Health and Dental Sciences.,https://sinta.kemdiktisaintek.go.id/journals/profile/13221,2797-4464,2807-3126,Health,Fakultas Kedokteran Gigi Universitas Jenderal Achmad Yani,S5,No,Yes,"0,00",4,32.0,32.0,http://jhds.fkg.unjani.ac.id/index.php/jhds
Ekobis syariah,https://sinta.kemdiktisaintek.go.id/journals/profile/12243,,2579-7042,Religion,Universitas Islam Negeri Ar-Raniry Banda Aceh,S5,No,Yes,"0,00",12,425.0,444.0,https://jurnal.ar-raniry.ac.id/index.php/ekobis/index
Jurnal Ilmiah Kesehatan Masyarakat.,https://sinta.kemdiktisaintek.go.id/journals/profile/14523,2810-0492,2809-9702,Health,Yayasan Literasi Sains Indonesia,S5,No,Yes,"0,00",6,141.0,142.0,https://journal.literasisains.id/index.php/sehatmas
Jurnal Inovasi Ilmu Pengetahuan dan Teknologi (JIPTEK).,https://sinta.kemdiktisaintek.go.id/journals/profile/13014,,2686-5157,General/Multidisciplinary,Universitas Pamulang,S5,No,Yes,"0,00",4,204.0,243.0,http://openjournal.unpam.ac.id/index.php/JIPT
Jurnal Healthy Mandala Waluya.,https://sinta.kemdiktisaintek.go.id/journals/profile/15095,,2830-1463,Health,UNIVERSITAS MANDALA WALUYA,S5,No,Yes,"0,00",5,76.0,77.0,https://ejournal.umw.ac.id/jhmw
Journal of Public Health Education.,https://sinta.kemdiktisaintek.go.id/journals/profile/13449,2807-2464,2807-2456,Education,Mitra Publikasi Ilmiah Press,S5,No,Yes,"0,00",10,325.0,331.0,https://journals.prosciences.net/index.php/JPHE
Journal of Science Education and Management Business.,https://sinta.kemdiktisaintek.go.id/journals/profile/15231,,2828-3031,Education,Riset Sinergi Indonesia,S5,No,Yes,"0,00",5,57.0,57.0,https://rcf-indonesia.org/jurnal/index.php/JOSEAMB
Keynesia.,https://sinta.kemdiktisaintek.go.id/journals/profile/14950,2829-7725,2829-7253,Economics & Business,Arka Institute,S5,No,Yes,"0,00",2,12.0,12.0,https://jurnal.arkainstitute.co.id/index.php/keynesia
Epsilon.,https://sinta.kemdiktisaintek.go.id/journals/profile/14307,1693-4989,2745-5688,Engineering & Computer Science,"Program Studi Teknik Elektro, Fakultas Teknik, Universitas Jenderal Achmad Yani",S5,No,Yes,"0,00",4,34.0,35.0,http://epsilon.unjani.ac.id/index.php/epsilon
Jurnal Flyover.,https://sinta.kemdiktisaintek.go.id/journals/profile/14767,,2829-5684,General/Multidisciplinary,Universitas Muslim Indonesia,S5,No,Yes,"0,00",15,519.0,520.0,https://pasca-umi.ac.id/index.php/flyover
Jurnal Abdi Kesehatan dan Kedokteran.,https://sinta.kemdiktisaintek.go.id/journals/profile/14788,2962-8245,2962-7133,Health,Lembaga Chakra Brahmanda Lentera,S5,No,Yes,"0,00",3,31.0,32.0,https://jakk.candle.or.id/index.php/jakk
Journal of Sport and Health.,https://sinta.kemdiktisaintek.go.id/journals/profile/12131,,2746-0304,Health,Universitas Mercu Buana Yogyakarta,S5,No,Yes,"0,00",0,0.0,0.0,https://ejurnal.mercubuana-yogya.ac.id/index.php/JSH
Jurnal penelitian pendidikan MIPA,https://sinta.kemdiktisaintek.go.id/journals/profile/12314,2502-9606,2502-9614,Education,Lembaga Penelitian dan Pengabdian Kepada Masyarakat UMN Al Washliyah,S5,No,Yes,"0,00",0,0.0,0.0,http://www.umnaw.ac.id/jurnal/index.php/ojs
Jurnal Filsafat dan Teologi Katolik,https://sinta.kemdiktisaintek.go.id/journals/profile/13304,2614-5898,2988-0130,Religion,Sekolah Tinggi Katolik Seminari Stikas Santo Yohanes Salib,S5,No,Yes,"0,00",5,95.0,95.0,https://ejurnal.stikassantoyohanessalib.ac.id/index.php/juftek
International Journal of Applied Counseling and Social Sciences.,https://sinta.kemdiktisaintek.go.id/journals/profile/13354,2774-8995,2774-9134,Science,Universitas Negeri Padang,S5,No,Yes,"0,00",6,176.0,185.0,http://bk.ppj.unp.ac.id/index.php/ijacss
Acintya.,https://sinta.kemdiktisaintek.go.id/journals/profile/9173,2085-2444,2655-5247,General/Multidisciplinary,Institut Seni Indonesia Surakarta,S5,No,Yes,"0,00",9,239.0,388.0,https://jurnal.isi-ska.ac.id/index.php/acintya
Trimas.,https://sinta.kemdiktisaintek.go.id/journals/profile/12177,,2809-1957,Social Science & Humanities,Indra Institute Research & Publication,S5,No,Yes,"0,00",2,21.0,21.0,https://ejournal.indrainstitute.id/index.php/trimas
Jurnal Indragiri Penelitian Multidisiplin.,https://sinta.kemdiktisaintek.go.id/journals/profile/12500,,2808-0432,General/Multidisciplinary,Indra Insititute Research & Publication,S5,No,Yes,"0,00",12,495.0,496.0,https://ejournal.indrainstitute.id/index.php/jipm
