Journal Name,Sinta URL,P-ISSN,E-ISSN,Subject Area,Affiliation,Accreditation,Scopus Indexed,Garuda Indexed,Impact,H5-index,Citations 5yr,Citations,Website URL
Performa.,https://sinta.kemdiktisaintek.go.id/journals/profile/4776,1412-8624,2620-6412,Engineering,"Program Studi Teknik Industri, Universitas Sebelas Maret",S3,No,Yes,"1,94",19,1.844,2.217,https://jurnal.uns.ac.id/performa
Brilliance.,https://sinta.kemdiktisaintek.go.id/journals/profile/11122,,2807-9035,General/Multidisciplinary,Yayasan Cita Cendekiawan Al Khwarizmi,S3,No,Yes,"1,94",16,1.762,1.804,https://jurnal.itscience.org/index.php/brilliance
Jurnal Hukum Legalita.,https://sinta.kemdiktisaintek.go.id/journals/profile/11694,1412-2480,2776-7248,Law,Universitas Muhammadiyah Kotabumi,S3,No,Yes,"1,93",37,8.634,10.935,https://jurnal.umko.ac.id/index.php/legalita
Indonesian Journal of Community Services and Engagement.,https://sinta.kemdiktisaintek.go.id/journals/profile/11314,2828-9943,2809-0217,General/Multidisciplinary,Institut Riset dan Publikasi Indonesia,S3,No,Yes,"1,93",6,166.0,167.0,https://journal.irpi.or.id/index.php/consen
Jurnal ilmiah Accusi.,https://sinta.kemdiktisaintek.go.id/journals/profile/10101,,2620-5815,General/Multidisciplinary,Universitas Simalungun,S3,No,Yes,"1,93",14,689.0,707.0,https://jurnal.usi.ac.id/index.php/jia/index
Jurnal fitofarmaka Indonesia,https://sinta.kemdiktisaintek.go.id/journals/profile/1447,2356-0398,2541-2329,"Health, Science",Laboratorium Farmakognosi-Fitokimia Fakultas Farmasi Universitas Muslim Indonesia,S3,No,Yes,"1,93",29,2.577,2.729,http://jurnal.farmasi.umi.ac.id/index.php/fitofarmakaindo/issue/archive
Jurnal fisika flux : jurnal ilmiah fisika FMIPA Universitas Lambung Mangkurat,https://sinta.kemdiktisaintek.go.id/journals/profile/72,1829-796X,2541-1713,"Science, Education",Lambung Mangkurat University Press,S3,No,Yes,"1,93",16,1.334,1.51,http://ppjp.ulm.ac.id/journal/index.php/f/
JSPH (Jurnal Sosiologi Pendidikan Humanis),https://sinta.kemdiktisaintek.go.id/journals/profile/76,2502-7875,2527-5879,"Humanities, Art, Social",Universitas Negeri Malang,S3,No,Yes,"1,92",11,481.0,489.0,http://journal2.um.ac.id/index.php/jsph/index
Alhadharah,https://sinta.kemdiktisaintek.go.id/journals/profile/4551,1412-9515,2579-986X,Religion,"Fakultas Dakwah dan Ilmu Komunikasi, Universitas Islam Negeri Antasari Banjarmasin",S3,No,Yes,"1,92",25,10.753,11.263,http://jurnal.uin-antasari.ac.id/index.php/alhadharah/index
Al-Wasatiyah,https://sinta.kemdiktisaintek.go.id/journals/profile/13656,,2985-9832,General/Multidisciplinary,Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,S3,No,Yes,"1,92",6,189.0,189.0,https://al-wasatiyah.uinjambi.ac.id/index.php/jrm
Jurnal gema keperawatan.,https://sinta.kemdiktisaintek.go.id/journals/profile/8924,2088-7493,2620-8695,Health,Poltekkes Kemenkes Denpasar,S3,No,Yes,"1,92",17,855.0,889.0,https://ejournal.poltekkes-denpasar.ac.id/index.php/JGK
Majalah Kesehatan Indonesia.,https://sinta.kemdiktisaintek.go.id/journals/profile/9061,2745-6498,2745-8008,Health,Utan Kayu Publishing,S3,No,Yes,"1,92",11,618.0,631.0,https://ukinstitute.org/journals/1/makein
Aphorisme.,https://sinta.kemdiktisaintek.go.id/journals/profile/9209,2722-6786,2722-6794,Education,Institut Agama Islam Sunan Giri Ponorogo,S3,No,Yes,"1,90",10,455.0,461.0,https://ejournal.insuriponorogo.ac.id/index.php/Aphorisme
"International Journal of Environment, Architecture, and Societies.",https://sinta.kemdiktisaintek.go.id/journals/profile/10735,2775-8540,2775-8540,General/Multidisciplinary,Universitas Tanjungpura,S3,No,Yes,"1,90",7,146.0,147.0,https://ijeas.untan.ac.id/index.php/home
Padjadjaran: Jurnal ilmu hukum (Journal of law),https://sinta.kemdiktisaintek.go.id/journals/profile/922,2460-1543,2442-9325,Social,Fakultas Hukum Universitas Padjadjaran,S3,Yes,No,"1,89",29,8.378,25.739,http://jurnal.unpad.ac.id/pjih/index
Al-Mustashfa : jurnal penelitian hukum ekonomi syariah,https://sinta.kemdiktisaintek.go.id/journals/profile/4600,2355-0805,2549-4112,Economics & Business,Jurusan Muamalah/Hukum Ekonomi Syariah IAIN Syekh Nurjati Cirebon,S3,No,Yes,"1,89",21,1.864,2.031,http://www.syekhnurjati.ac.id/jurnal/index.php/al-mustashfa
Ius Poenale.,https://sinta.kemdiktisaintek.go.id/journals/profile/10734,2723-2638,2745-9314,General/Multidisciplinary,Universitas Lampung,S3,No,Yes,"1,89",5,100.0,101.0,https://jurnal.fh.unila.ac.id/index.php/ip
Jurnal agro industri perkebunan,https://sinta.kemdiktisaintek.go.id/journals/profile/302,2337-9944,2548-9259,Agriculture,Politeknik Negeri Lampung,S3,No,Yes,"1,89",14,1.038,1.228,https://jurnal.polinela.ac.id/index.php/AIP
MAHESA.,https://sinta.kemdiktisaintek.go.id/journals/profile/10418,2746-198X,2746-3486,Health,Universitas Malahayati,S3,No,Yes,"1,89",15,2.174,2.179,http://ejurnalmalahayati.ac.id/index.php/MAHESA
Jurnal Kumparan Fisika.,https://sinta.kemdiktisaintek.go.id/journals/profile/6693,2685-1806,2655-1403,Science,Universitas Bengkulu,S3,No,Yes,"1,88",11,513.0,513.0,https://ejournal.unib.ac.id/index.php/kumparan_fisika
Jurnal khabar.,https://sinta.kemdiktisaintek.go.id/journals/profile/13208,,2716-0769,General/Multidisciplinary,STAI Bumi Silampari Lubuklinggau,S3,No,Yes,"1,88",9,384.0,428.0,https://jurnal.staibsllg.ac.id/index.php/khabar
Arsitektura,https://sinta.kemdiktisaintek.go.id/journals/profile/3617,1693-3680,2580-2976,"Art, Social, Engineering",Universitas Sebelas Maret,S3,No,Yes,"1,88",13,1.23,1.474,https://jurnal.uns.ac.id/Arsitektura
Jurnal Psikogenesis,https://sinta.kemdiktisaintek.go.id/journals/profile/5568,2303-3177,2597-7547,General/Multidisciplinary,Fakultas Psikologi Universitas YARSI,S3,No,Yes,"1,84",25,2.373,2.969,http://academicjournal.yarsi.ac.id/index.php/Jurnal-Online-Psikogenesis/index
JITIPARI (Jurnal Ilmiah Teknologi dan Industri Pangan UNISRI),https://sinta.kemdiktisaintek.go.id/journals/profile/7556,2502-9347,2579-4523,General/Multidisciplinary,Universitas Slamet Riyadi,S3,No,Yes,"1,84",15,1.273,1.503,http://ejurnal.unisri.ac.id/index.php/jtpr
Teknologi pangan,https://sinta.kemdiktisaintek.go.id/journals/profile/4783,2087-9679,2597-436X,Engineering & Computer Science,"Program studi Ilmu dan Teknologi Pangan, Fakultas Pertanian, Universitas Yudharta Pasuruan",S3,No,Yes,"1,84",22,1.796,2.1,https://jurnal.yudharta.ac.id/v2/index.php/Teknologi-Pangan/issue/archive
Jurnal Ilmu Komputer dan Teknologi.,https://sinta.kemdiktisaintek.go.id/journals/profile/11236,2746-4237,2746-4237,Engineering & Computer Science,Universitas Harapan Bangsa Purwokerto,S3,No,Yes,"1,84",8,260.0,264.0,https://ejournal.uhb.ac.id/index.php/IKOMTI
Eqien.,https://sinta.kemdiktisaintek.go.id/journals/profile/5489,2503-4413,2654-5837,Economics & Business,STIE DR KHEZ Mutaqien Purwakarta,S3,No,Yes,"1,84",17,1.936,1.952,https://stiemuttaqien.ac.id/ojs/index.php/OJS
Jurnal Sains Kebidanan.,https://sinta.kemdiktisaintek.go.id/journals/profile/10290,2715-5870,2715-5862,Health,Poltekkes Kemenkes Semarang,S3,No,Yes,"1,83",12,679.0,696.0,http://ejournal.poltekkes-smg.ac.id/ojs/index.php/JSK
Intizar.,https://sinta.kemdiktisaintek.go.id/journals/profile/3935,1412-1697,2477-3816,"Humanities, Art, Religion",Pusat Penelitian dan Penerbitan LP2M UIN Raden Fatah Palembang,S3,No,Yes,"1,83",17,1.357,1.399,http://jurnal.radenfatah.ac.id/index.php/intizar
Jurnal Matematika Sains dan Teknologi.,https://sinta.kemdiktisaintek.go.id/journals/profile/3732,1411-1934,2442-9147,"Education, Agriculture",Universitas Terbuka,S3,No,Yes,"1,83",18,1.351,1.761,http://jurnal.ut.ac.id/index.php/jmst
Abdimas Awang Long.,https://sinta.kemdiktisaintek.go.id/journals/profile/10757,2776-4443,2776-3757,Social Science & Humanities,Sekolah Tinggi Ilmu Hukum Awang Long Samarinda,S3,No,Yes,"1,83",8,355.0,355.0,http://ejournal.stih-awanglong.ac.id/index.php/awal
Atfaluna.,https://sinta.kemdiktisaintek.go.id/journals/profile/6368,2655-8572,2655-8009,Education,Institut Agama Islam NegeriLangsa,S3,No,Yes,"1,82",9,238.0,239.0,http://journal.iainlangsa.ac.id/index.php/atfaluna/issue/archive
JUTI (Jurnal Ilmiah Teknologi Informasi).,https://sinta.kemdiktisaintek.go.id/journals/profile/15363,1412-6389,2406-8535,Engineering & Computer Science,"Department of Informatics, Institut Teknologi Sepuluh Nopember (ITS) Surabaya",S3,No,Yes,"1,81",16,1.188,1.894,https://juti.if.its.ac.id/index.php/juti
IndoMath.,https://sinta.kemdiktisaintek.go.id/journals/profile/4885,2614-5103,2614-5111,Education,Universitas Sarjanawiyata Tamansiswa,S3,No,Yes,"1,81",17,1.162,1.34,https://indomath.org/index.php/indomath
International Journal of Law and Public Policy.,https://sinta.kemdiktisaintek.go.id/journals/profile/10753,2721-6934,2721-6942,Law,Lamintang Education & Training Centre,S3,No,Yes,"1,80",9,239.0,245.0,https://lamintang.org/journal/index.php/ijlapp
Education and Linguistics Knowledge Journal.,https://sinta.kemdiktisaintek.go.id/journals/profile/9630,,2686-1860,Education,Universitas Islam Kadiri,S3,No,Yes,"1,80",7,242.0,275.0,https://ejournal.uniska-kediri.ac.id/index.php/EDULINK
Jurnal Perkotaan.,https://sinta.kemdiktisaintek.go.id/journals/profile/13781,1978-9416,2615-1812,General/Multidisciplinary,Universitas Katolik Indonesia Atma Jaya,S3,No,Yes,"1,80",9,389.0,444.0,https://ejournal.atmajaya.ac.id/index.php/perkotaan
Jurnal Studi Al-Quran.,https://sinta.kemdiktisaintek.go.id/journals/profile/4225,0216-1648,2339-2614,General/Multidisciplinary,Prodi Pendidikan Agama Islam,S3,No,Yes,"1,80",23,2.504,2.958,http://journal.unj.ac.id/unj/index.php/jsq
Malia: jurnal ekonomi Islam Universitas Yudharta Pasuruan,https://sinta.kemdiktisaintek.go.id/journals/profile/3095,2087-9636,2549-2578,Economy,Universitas Yudharta Pasuruan,S3,No,Yes,"1,79",21,1.515,1.548,https://jurnal.yudharta.ac.id/v2/index.php/malia
Jurnal pariwisata pesona,https://sinta.kemdiktisaintek.go.id/journals/profile/3641,1410-7252,2541-5859,Social,Program Diploma Kepariwisataan Universitas Merdeka Malang,S3,No,Yes,"1,79",22,1.863,1.931,http://jurnal.unmer.ac.id/index.php/jpp/index
Manuju.,https://sinta.kemdiktisaintek.go.id/journals/profile/8584,2655-2728,2655-4712,Health,Universitas Malahayati Lampung,S3,No,Yes,"1,79",20,3.59,3.685,http://ejurnalmalahayati.ac.id/index.php/manuju/index
Jurnal manajemen dan kewirausahaan,https://sinta.kemdiktisaintek.go.id/journals/profile/430,2301-9093,2540-8259,Economics & Business,Universitas Merdeka Malang,S3,No,Yes,"1,78",29,3.673,4.26,http://jurnal.unmer.ac.id/index.php/jmdk
Journal of family sciences.,https://sinta.kemdiktisaintek.go.id/journals/profile/6105,,2460-2329,Science,Departemen Ilmu Keluarga dan Konsumen,S3,No,Yes,"1,88",15,801.0,865.0,https://journal.ipb.ac.id/index.php/jfs/index
Jurnal Manajemen (edisi elektronik),https://sinta.kemdiktisaintek.go.id/journals/profile/4099,,2301-4628,Science,UPT Jurnal & Publikasi Ilmiah SPs Universitas Ibn Khaldun Bogor,S3,No,Yes,"1,87",12,699.0,700.0,http://ejournal.uika-bogor.ac.id/index.php/manajemen/index
Al-Ulum.,https://sinta.kemdiktisaintek.go.id/journals/profile/11114,,2723-5459,Education,Rahmat Islamiyah Press,S3,No,Yes,"1,87",14,951.0,997.0,https://www.ejurnalilmiah.com/index.php/Al-Ulum/index
Yumary.,https://sinta.kemdiktisaintek.go.id/journals/profile/10942,,2746-0576,Social Science & Humanities,Penerbit Goodwood,S3,No,Yes,"1,87",18,1.269,1.271,https://penerbitgoodwood.com/index.php/jpm
English education,https://sinta.kemdiktisaintek.go.id/journals/profile/3571,2580-3441,2503-4405,Education,Universitas Nusantara PGRI Kediri,S3,No,Yes,"1,87",19,1.323,1.454,https://ojs.unpkediri.ac.id/index.php/inggris
Jurnal media teknik dan sistem industri,https://sinta.kemdiktisaintek.go.id/journals/profile/7425,2581-0529,2581-0561,Engineering & Computer Science,Prodi Teknik Industri Universitas Suryakancana Cianjur,S3,No,Yes,"1,86",20,1.257,1.353,https://jurnal.unsur.ac.id/jmtsi
Jurnal Pemberdayaan dan Pendidikan Kesehatan.,https://sinta.kemdiktisaintek.go.id/journals/profile/12620,,2809-4646,Education,Sekolah Tinggi Ilmu Kesehatan Kuningan,S3,No,Yes,"1,86",9,334.0,337.0,https://ejournal.stikku.ac.id/index.php/jppk
Organum.,https://sinta.kemdiktisaintek.go.id/journals/profile/6577,2620-8156,2620-8164,Economics & Business,Universitas Winaya Mukti,S3,No,Yes,"1,85",13,563.0,567.0,http://ejournal.winayamukti.ac.id/index.php/Organum
Constitutionale.,https://sinta.kemdiktisaintek.go.id/journals/profile/10751,2723-2492,2745-9322,General/Multidisciplinary,Universitas Lampung,S3,No,Yes,"1,85",6,154.0,155.0,https://jurnal.fh.unila.ac.id/index.php/constitutionale/
Jurnal sport science.,https://sinta.kemdiktisaintek.go.id/journals/profile/4995,1907-5111,2620-4681,Science,Universitas Negeri Malang,S3,No,Yes,"1,85",8,378.0,383.0,http://journal2.um.ac.id/index.php/sport-science
Aisyiyah Surakarta Journal Of Nursing).,https://sinta.kemdiktisaintek.go.id/journals/profile/11828,,2774-9096,Health,Universitas Aisyiyah Surakarta,S3,No,Yes,"1,69",13,485.0,491.0,https://journal.aiska-university.ac.id/index.php/asjn
Jurnal Ilmu Komputer dan Agri-Informatika.,https://sinta.kemdiktisaintek.go.id/journals/profile/10119,2089-6026,2654-9735,Engineering & Computer Science,Institut Pertanian Bogor,S3,No,Yes,"1,69",13,801.0,1.089,http://journal.ipb.ac.id/index.php/jika
Dharmakarya.,https://sinta.kemdiktisaintek.go.id/journals/profile/7445,2302-8955,2614-2392,Social Science & Humanities,Direktorat Riset dan Pengabdian Pada Masyarakat - Universitas Padjadjaran,S3,No,Yes,"1,69",26,4.122,4.259,http://jurnal.unpad.ac.id/dharmakarya/index
"Journal of Accounting, Business and Management.",https://sinta.kemdiktisaintek.go.id/journals/profile/4384,0216-423X,2622-2167,General/Multidisciplinary,STIE Malangkucecwara,S3,No,Yes,"1,68",18,1.301,1.714,http://journal.stie-mce.ac.id/index.php/jabminternational/
Enlighten.,https://sinta.kemdiktisaintek.go.id/journals/profile/6358,2622-8912,2622-8920,Religion,IAIN Langsa,S3,No,Yes,"1,68",15,910.0,977.0,https://journal.iainlangsa.ac.id/index.php/enlighten/index
Jurnal ARSI.,https://sinta.kemdiktisaintek.go.id/journals/profile/13395,2406-9108,2476-986X,"Health, Science, Social",Universitas Indonesia,S3,No,Yes,"1,68",25,2.206,2.788,https://scholarhub.ui.ac.id/arsi/
Jurnal Pengabdian Kepada Masyarakat: Bakti Kita.,https://sinta.kemdiktisaintek.go.id/journals/profile/11174,,2723-6285,Social Science & Humanities,Universitas Islam Darul Ulum,S3,No,Yes,"1,68",8,238.0,240.0,http://e-jurnal.unisda.ac.id/index.php/baktikita
Jurnal Teknologi Sistem Informasi dan Aplikasi.,https://sinta.kemdiktisaintek.go.id/journals/profile/10336,2654-3788,2654-4229,Engineering & Computer Science,Program Studi Teknik Informatika Universitas Pamulang,S3,No,Yes,"1,67",22,2.154,2.319,http://openjournal.unpam.ac.id/index.php/JTSI
Jurnal Linears.,https://sinta.kemdiktisaintek.go.id/journals/profile/8005,,2614-3976,General/Multidisciplinary,Universitas Muhammadiyah Makassar,S3,No,Yes,"1,67",8,186.0,190.0,https://journal.unismuh.ac.id/index.php/linears/index
Hang Tuah law journal,https://sinta.kemdiktisaintek.go.id/journals/profile/3952,2549-2055,2549-2071,Social,Fakultas Hukum Universitas Hang Tuah Surabaya,S3,No,Yes,"1,67",8,279.0,328.0,https://law-journal.hangtuah.ac.id/index.php/jurnal/index
Jurnal riset akuntansi dan keuangan,https://sinta.kemdiktisaintek.go.id/journals/profile/1418,2338-1507,2541-061X,Economy,Universitas Pendidikan Indonesia,S3,No,Yes,"1,75",44,7.687,9.431,http://ejournal.upi.edu/index.php/JRAK
Indonesia Private Law Review.,https://sinta.kemdiktisaintek.go.id/journals/profile/12826,2723-259X,2745-9284,Law,Universitas Lampung,S3,No,Yes,"1,75",8,244.0,249.0,https://jurnal.fh.unila.ac.id/index.php/iplr
Al-Kawakib.,https://sinta.kemdiktisaintek.go.id/journals/profile/12798,,2746-4997,General/Multidisciplinary,Universitas Negeri Padang,S3,No,Yes,"1,75",10,396.0,399.0,http://kawakib.ppj.unp.ac.id/index.php/kwkib
Langkau Betang : jurnal arsitektur,https://sinta.kemdiktisaintek.go.id/journals/profile/570,2355-2484,2550-1194,Engineering,Program Studi Arsitektur Fakultas Teknik Universitas Tanjungpura,S3,No,No,"1,75",11,521.0,551.0,http://jurnal.untan.ac.id/index.php/lb/
JTERA (Jurnal Teknologi Rekayasa),https://sinta.kemdiktisaintek.go.id/journals/profile/418,2548-737X,2548-8678,"Science, Engineering",Politeknik Sukabumi,S3,No,Yes,"1,75",17,1.501,1.539,http://jtera.polteksmi.ac.id
Journal of Tropical Crop Science.,https://sinta.kemdiktisaintek.go.id/journals/profile/5256,2356-0169,2356-0177,Science,Institut Pertanian Bogor,S3,No,Yes,"1,75",16,878.0,1.22,http://www.j-tropical-crops.com/index.php/agro
Tell.,https://sinta.kemdiktisaintek.go.id/journals/profile/5785,2338-8927,2657-2443,General/Multidisciplinary,Universitas Muhammadiyah Surabaya,S3,No,Yes,"1,74",13,636.0,713.0,http://journal.um-surabaya.ac.id/index.php/Tell
Naradidik.,https://sinta.kemdiktisaintek.go.id/journals/profile/14572,2827-9670,2827-864X,"Education, Social",Universitas Negeri Padang,S3,No,Yes,"1,74",15,896.0,908.0,https://naradidik.ppj.unp.ac.id/index.php/nara
Rekayasa,https://sinta.kemdiktisaintek.go.id/journals/profile/3263,0126-9495,2502-5325,"Science, Agriculture, Engineering",Lembaga Penelitian dan Pengabdian kepada Masyrakat Universitas Trunojoyo Madura,S3,No,Yes,"1,73",21,2.318,2.708,https://journal.trunojoyo.ac.id/rekayasa
Journal of Sharia Economics.,https://sinta.kemdiktisaintek.go.id/journals/profile/9801,2774-3551,2774-3543,Economy,Program Studi Magister Ekonomi Syariah,S3,No,Yes,"1,72",14,473.0,475.0,https://journal.ar-raniry.ac.id/index.php/JoSE
Caradde.,https://sinta.kemdiktisaintek.go.id/journals/profile/6364,2621-7961,2621-7910,Social Science & Humanities,Institute for Learning Innovation and Counseling,S3,No,Yes,"1,78",21,2.055,2.232,https://journal.ilininstitute.com/index.php/caradde
Jurnal ilmiah bisnis dan ekonomi Asia.,https://sinta.kemdiktisaintek.go.id/journals/profile/3958,0126-1258,2620-875X,Economy,LP2M Institut Teknologi dan Bisnis Asia Malang,S3,No,Yes,"1,78",38,6.537,8.328,https://jibeka.asia.ac.id/index.php/jibeka
Jurnal AKSI (Akuntansi dan Sistem Informasi),https://sinta.kemdiktisaintek.go.id/journals/profile/3979,2528-6145,2541-3198,"Economy, Science",Politeknik Negeri Madiun,S3,No,Yes,"1,78",15,1.206,1.37,http://journal.pnm.ac.id/index.php/aksi
Journal of science education research,https://sinta.kemdiktisaintek.go.id/journals/profile/7036,2597-9701,2597-9701,Education,"Department of Natural Science Education, Faculty of Mathematics and Natural Sciences, Yogyakarta State University",S3,No,Yes,"1,78",10,316.0,318.0,https://journal.uny.ac.id/index.php/jser
Retorika : Jurnal Ilmu Bahasa.,https://sinta.kemdiktisaintek.go.id/journals/profile/1822,2406-9019,2443-0668,Education,"Program Studi Magister Linguistik, Program Pascasarjana, Universitas Warmadewa",S3,No,Yes,"1,77",23,2.509,2.916,https://ejournal.warmadewa.ac.id/index.php/jret/index
Jurnal epidemiologi kesehatan Indonesia,https://sinta.kemdiktisaintek.go.id/journals/profile/6825,,2548-513X,Health,"Departemen Epidemiologi, Fakultas Kesehatan Masyarakat, Universitas Indonesia",S3,No,Yes,"1,77",24,1.969,2.171,http://journal.fkm.ui.ac.id/epid/issue/archive
Jurnal riset dan kajian pendidikan fisika.,https://sinta.kemdiktisaintek.go.id/journals/profile/1605,,2355-620X,"Science, Education",Universitas Ahmad Dahlan,S3,No,Yes,"1,77",14,804.0,1.214,https://journal1.uad.ac.id/index.php/JRKPF/index
Petra International journal of Business Studies.,https://sinta.kemdiktisaintek.go.id/journals/profile/6777,2621-6426,2621-6426,"Economy, Science","Master of Management, School of Business and Management, Petra Christian University",S3,No,Yes,"1,77",19,1.345,1.405,http://ijbs.petra.ac.id
Digital zone: jurnal teknologi informasi dan komunikasi.,https://sinta.kemdiktisaintek.go.id/journals/profile/4013,2086-4884,2477-3255,"Science, Engineering",Fakultas ilmu Komputer-universitas lancang kuning,S3,No,Yes,"1,76",20,1.606,1.966,https://journal.unilak.ac.id/index.php/dz/issue/archive
Jurnal SAGO Gizi dan Kesehatan.,https://sinta.kemdiktisaintek.go.id/journals/profile/10286,2714-6464,2721-558X,Health,Politeknik Kesehatan Kemenkes Aceh,S3,No,Yes,"1,76",15,1.293,1.323,http://ejournal.poltekkesaceh.ac.id/index.php/gikes
Molecular and cellular biomedical sciences,https://sinta.kemdiktisaintek.go.id/journals/profile/3821,2527-4384,2527-3442,"Health, Science",Cell and Biopharmaceutical Institute,S3,No,Yes,"1,71",10,482.0,486.0,https://cellbiopharm.com/ojs/index.php/MCBS
Sains Natural.,https://sinta.kemdiktisaintek.go.id/journals/profile/7284,2086-3446,2621-508X,Science,Universitas Nusa Bangsa,S3,No,Yes,"1,71",17,1.428,1.678,http://ejournalunb.ac.id/index.php/JSN
Loghat Arabi.,https://sinta.kemdiktisaintek.go.id/journals/profile/10405,2722-1180,2722-1199,Education,IAI DDI Polewali Mandar,S3,No,Yes,"1,71",12,630.0,632.0,https://journal.iaiddipolman.ac.id/index.php/loghat
JPG.,https://sinta.kemdiktisaintek.go.id/journals/profile/7877,2356-5225,2685-6395,Education,Universitas Lambung Mangkurat,S3,No,Yes,"1,71",19,1.55,1.843,https://ppjp.ulm.ac.id/journal/index.php/jpg/index
SIGn Journal of Social Science.,https://sinta.kemdiktisaintek.go.id/journals/profile/14155,,2745-374X,Science,CV. Social Politic Genius,S3,No,Yes,"1,71",10,310.0,311.0,https://jurnal.penerbitsign.com/index.php/sjss
Cakrawala.,https://sinta.kemdiktisaintek.go.id/journals/profile/4847,1978-0354,2622-013X,General/Multidisciplinary,Badan Penelitian dan Pengembangan Provinsi Jawa Timur,S3,No,Yes,"1,71",13,1.02,1.133,http://cakrawalajournal.org/index.php/cakrawala/
International Journal of Indonesian Philosophy & Theology.,https://sinta.kemdiktisaintek.go.id/journals/profile/9713,2722-8894,2722-8886,General/Multidisciplinary,Asosiasi Filsafat Teologi Indonesia bekerjasama dengan Asosiasi Ahli Filsafat Keilahian Indonesia,S3,No,Yes,"1,70",8,244.0,248.0,https://aafki-afti.org/IJIPTh
Journal of Bioresources and Environmental Sciences.,https://sinta.kemdiktisaintek.go.id/journals/profile/13064,2829-8314,2829-7741,Science,Universitas Diponegoro,S3,No,Yes,"1,69",7,152.0,153.0,https://jbes.cbiore.id/index.php/jbes/index
Juti.,https://sinta.kemdiktisaintek.go.id/journals/profile/3518,2406-8535,1412-6389,"Health, Science, Education",Institut Teknologi Sepuluh Nopember Surabaya,S3,No,Yes,"1,69",16,1.244,1.996,http://juti.if.its.ac.id/index.php/juti
Al Khidma.,https://sinta.kemdiktisaintek.go.id/journals/profile/12210,,2807-7903,Social Science & Humanities,Sekolah Tinggi Ilmu Al Quran Amuntai Kalimantan Selatan,S3,No,Yes,"1,64",7,259.0,260.0,https://jurnal.stiq-amuntai.ac.id/index.php/Al-khidma
Jurnal pendidikan edutama,https://sinta.kemdiktisaintek.go.id/journals/profile/2083,2339-2258,2548-821X,Education,LPPM IKIP PGRI Bojonegoro,S3,No,Yes,"1,64",31,4.201,4.691,http://ejurnal.ikippgribojonegoro.ac.id/index.php/JPE/index
Al-Bayan,https://sinta.kemdiktisaintek.go.id/journals/profile/3830,2528-1054,2540-8461,Religion,Ilmu Al-Qur'an dan Tafsir Fakultas Ushuluddin UIN SGD,S3,No,Yes,"1,64",19,1.249,1.283,http://journal.uinsgd.ac.id/index.php/Al-Bayan/issue/archive
JET (Journal of English Teaching) Adi Buana.,https://sinta.kemdiktisaintek.go.id/journals/profile/5422,2502-2121,2614-4050,General/Multidisciplinary,Universitas PGRI Adi Buana Surabaya,S3,No,Yes,"1,64",8,609.0,615.0,https://jurnal.unipasby.ac.id/index.php/jet
Koneksi.,https://sinta.kemdiktisaintek.go.id/journals/profile/7419,,2598-0785,General/Multidisciplinary,Fakultas Ilmu Komunikasi Universitas Tarumanagara,S3,No,Yes,"1,64",23,2.957,3.109,https://journal.untar.ac.id/index.php/koneksi
Indonesian journal of applied statistics.,https://sinta.kemdiktisaintek.go.id/journals/profile/6372,,2621-086X,General/Multidisciplinary,Universitas Sebelas Maret,S3,No,Yes,"1,63",41,12.659,15.42,https://jurnal.uns.ac.id/ijas/index
Al-Hikmah : Indonesian journal of early childhood islamic education,https://sinta.kemdiktisaintek.go.id/journals/profile/6656,2598-9588,2550-1100,Education,Universitas Al-Hikmah Indonesia,S3,No,Yes,"1,63",16,922.0,1.001,https://journal.uaindonesia.ac.id/index.php/ijecie
Pamomong.,https://sinta.kemdiktisaintek.go.id/journals/profile/11474,2774-583x,2808-8565,Education,Universitas Islam Negeri Salatiga,S3,No,Yes,"1,63",7,223.0,224.0,https://ejournal.uinsalatiga.ac.id/index.php/pamomong/
Indonesian Interdisciplinary Journal of Sharia Economics.,https://sinta.kemdiktisaintek.go.id/journals/profile/7507,,2621-606X,General/Multidisciplinary,Institut Pesantren KH Abdul Chalim,S3,No,Yes,"1,62",27,4.617,4.658,https://e-journal.uac.ac.id/index.php/iijse
LenteraBio : Berkala Ilmiah Biologi.,https://sinta.kemdiktisaintek.go.id/journals/profile/5673,2252-3979,2685-7871,Science,"Jurusan Biologi, Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Negeri Surabaya",S3,No,Yes,"1,62",26,3.959,5.301,https://journal.unesa.ac.id/index.php/lenterabio/index
Edunomia.,https://sinta.kemdiktisaintek.go.id/journals/profile/11231,2746-5578,2746-5586,Education,Universitas Muhammadiyah Metro,S3,No,Yes,"1,67",10,465.0,479.0,http://scholar.ummetro.ac.id/index.php/edunomia
Jurnal Laut Khatulistiwa.,https://sinta.kemdiktisaintek.go.id/journals/profile/8504,2614-6142,2614-8005,General/Multidisciplinary,Universitas Tanjungpura,S3,No,Yes,"1,67",13,722.0,757.0,https://jurnal.untan.ac.id/index.php/lk
Indonesian Journal of Elearning and Multimedia.,https://sinta.kemdiktisaintek.go.id/journals/profile/14469,2830-2885,2830-2885,General/Multidisciplinary,CV. Media Inti Teknologi,S3,No,Yes,"1,67",5,88.0,88.0,https://ejournal.1001tutorial.com/index.php/ijoem
